ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,City,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,Business & Financial Operations Occupations,2018,2018,04000US37,North Carolina,39735,1298.1236458827793,1.6793486675900655,Charlotte,16000US3712000,charlotte-nc,136006,3675,35073,13.292276109828071,130896,3.9038626084830703,8.926866419390857
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,Computer & Mathematical Occupations,2018,2018,04000US37,North Carolina,20874,935.7269900991421,1.5457563730020543,Charlotte,16000US3712000,charlotte-nc,155889,6523,19876,5.021131012276111,149532,4.251263943503732,4.689553533116012
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,Architecture & Engineering Occupations,2018,2018,04000US37,North Carolina,7460,582.3478342022061,0.9070746107684304,Charlotte,16000US3712000,charlotte-nc,145440,14788,7505,-0.599600266,132265,9.961063017427135,1.6759638477074568
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2018,2018,04000US37,North Carolina,2542,319.3759540103168,0.6159130673441409,Charlotte,16000US3712000,charlotte-nc,122651,18774,2247,13.12861593235425,113553,8.012117689537044,0.5710858044064818
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,Community & Social Service Occupations,2018,2018,04000US37,North Carolina,7598,738.5885187301519,0.9872225870165838,Charlotte,16000US3712000,charlotte-nc,85347,7613,7621,-0.301797664,81900,4.208791208791209,1.7069669322897125
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,Legal Occupations,2018,2018,04000US37,North Carolina,5954,460.99132312875474,1.212405136423035,Charlotte,16000US3712000,charlotte-nc,212857,59346,5769,3.2067949384642054,185609,14.680322613666362,1.3376258377010988
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2018,2018,04000US37,North Carolina,23233,1122.1466036129148,0.8660278230914272,Charlotte,16000US3712000,charlotte-nc,80261,3118,23391,-0.675473473,77424,3.6642384790245917,5.219526551446024
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2018,2018,04000US37,North Carolina,9908,767.1746868,1.1117177886058722,Charlotte,16000US3712000,charlotte-nc,87357,8214,9532,3.9446076374318086,80308,8.777456791,2.225931608992692
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,9,Health Diagnosing & Treating Practitioners & Other Technical Occupations,2018,2018,04000US37,North Carolina,14528,821.5412345098692,0.8125287690096923,Charlotte,16000US3712000,charlotte-nc,189475,28168,14336,1.3392857142857142,182289,3.9420919528879965,3.263860962
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,10,Health Technologists & Technicians,2018,2018,04000US37,North Carolina,5360,530.4950518,0.6202736916776602,Charlotte,16000US3712000,charlotte-nc,81930,11638,5212,2.839600921,75783,8.111317841732314,1.2041777779774756
